DESCRIÇÃO,PREÇO,LINK
Sony Playstation 5 Slim Ps5 1tb Bundle Bundle Novo Nacional Branco,4.099,https://www.mercadolivre.com.br/sony-playstation-5-slim-ps5-1tb-bundle-bundle-novo-nacional/up/MLBU2721394010#polycard_client=search-nordic&search_layout=grid&position=40&type=product&tracking_id=140f174e-1940-4074-a6f3-747bd64035dc&wid=MLB4577632864&sid=search
Ps5 Slim 2 Controles Fc 26 Branco,4.099,https://www.mercadolivre.com.br/ps5-slim-2-controles-fc-26/up/MLBU3167468287#polycard_client=search-nordic&search_layout=grid&position=49&type=product&tracking_id=140f174e-1940-4074-a6f3-747bd64035dc&wid=MLB5383619472&sid=search
Sony PlayStation 5 Slim Cfi-2015b 1Tb 30º Aniversário Edição Limitada Cor Cinza 2024,4.299,https://www.mercadolivre.com.br/sony-playstation-5-slim-cfi-2015b-1tb-30-aniversario-edico-limitada-cor-cinza-2024/p/MLB42024580#polycard_client=search-nordic&search_layout=grid&position=35&type=product&tracking_id=140f174e-1940-4074-a6f3-747bd64035dc&wid=MLB3939816453&sid=search
Console Sony Playstation 5 Digital Slim 1tb  Branco + Jogos Returnal E Ratchet & Clank + Controle Sem Fio Dualsense Branco,4.399,https://produto.mercadolivre.com.br/MLB-5747182382-console-sony-playstation-5-digital-slim-1tb-branco-jogos-returnal-e-ratchet-clank-controle-sem-fio-dualsense-branco-_JM?searchVariation=191269459553#polycard_client=search-nordic&searchVariation=191269459553&search_layout=grid&position=38&type=item&tracking_id=140f174e-1940-4074-a6f3-747bd64035dc
Console Playstation®5 Slim Digital - Pacote Astro Bot E Gran Turismo 7 Branco,4.422,https://www.mercadolivre.com.br/console-playstation5-slim-digital-pacote-astro-bot-e-gran-turismo-7-branco/p/MLB57081243#polycard_client=search-nordic&search_layout=grid&position=7&type=product&tracking_id=140f174e-1940-4074-a6f3-747bd64035dc&wid=MLB4214670787&sid=search
Ps5 Slim 1tb Fisico C/leitor Astrobot/granturismo Novo C/nf Branco,4.422,https://www.mercadolivre.com.br/ps5-slim-1tb-fisico-cleitor-astrobotgranturismo-novo-cnf/up/MLBU3366774909#polycard_client=search-nordic&search_layout=grid&position=32&type=product&tracking_id=140f174e-1940-4074-a6f3-747bd64035dc&wid=MLB4167216361&sid=search
"Sony PlayStation 5 Slim Standard CFI-2014A 1TB Ratchet & Clank: Rift Apart, Returnal cor branco 2022",4.430,https://www.mercadolivre.com.br/sony-playstation-5-slim-standard-cfi-2014a-1tb-ratchet-clank-rift-apart-returnal-cor-branco-2022/p/MLB37494436#polycard_client=search-nordic&search_layout=grid&position=27&type=product&tracking_id=140f174e-1940-4074-a6f3-747bd64035dc&wid=MLB5194650600&sid=search
Playstation 5 2tb 8k Digital Pronta Entrega Com Nota Fiscal E Garantia - Ps5 Pro 2tb Branco,4.450,https://www.mercadolivre.com.br/playstation-5-2tb-8k-digital-pronta-entrega-com-nota-fiscal-e-garantia--ps5-pro-2tb/up/MLBU2722335582#polycard_client=search-nordic&search_layout=grid&position=29&type=product&tracking_id=140f174e-1940-4074-a6f3-747bd64035dc&wid=MLB3903289193&sid=search
Console Playstation 5 Midia Fisica Fc26  2 Controles Branco/preto,4.497,https://www.mercadolivre.com.br/console-playstation-5-midia-fisica-fc26--2-controles/up/MLBU3167456983#polycard_client=search-nordic&search_layout=grid&position=17&type=product&tracking_id=140f174e-1940-4074-a6f3-747bd64035dc&wid=MLB5383478272&sid=search
Console Playstation®5 Slim Disk - Pacote Astro Bot E Gran Turismo 7 Branco,4.499,https://www.mercadolivre.com.br/console-playstation5-slim-disk-pacote-astro-bot-e-gran-turismo-7-branco/p/MLB55766882#polycard_client=search-nordic&search_layout=grid&position=15&type=product&tracking_id=140f174e-1940-4074-a6f3-747bd64035dc&wid=MLB5732835902&sid=search
